code,name,industry,area,Lastdate
2052,同洲电子,通信设备,深圳,2016-12-09
2589,瑞康医药,医药商业,山东,2016-12-09
2053,云南盐化,化工原料,云南,2016-12-09
2055,得润电子,元器件,深圳,2016-12-09
2056,横店东磁,元器件,浙江,2016-12-09
2057,中钢天源,元器件,安徽,2016-12-09
2058,威 尔 泰,电器仪表,上海,2016-12-09
2059,云南旅游,旅游景点,云南,2016-12-09
2060,粤 水 电,建筑施工,广东,2016-12-09
2061,*ST江化,化工原料,浙江,2016-12-09
2062,宏润建设,建筑施工,浙江,2016-12-09
2054,德美化工,化工原料,广东,2016-12-09
2207,准油股份,石油开采,新疆,2016-12-09
2216,三全食品,食品,河南,2016-12-09
2209,达 意 隆,轻工机械,广东,2016-12-09
2498,汉缆股份,电气设备,山东,2016-12-09
2499,科林环保,专用机械,江苏,2016-12-09
2500,山西证券,证券,山西,2016-12-09
2501,利源精制,铝,吉林,2016-12-09
2502,骅威股份,文教休闲,广东,2016-12-09
2503,搜于特,服饰,广东,2016-12-09
2504,弘高创意,半导体,北京,2016-12-09
2517,恺英网络,互联网,福建,2016-12-09
2518,科士达,电器仪表,深圳,2016-12-09
2519,银河电子,通信设备,江苏,2016-12-09
2520,日发精机,机床制造,浙江,2016-12-09
2521,齐峰新材,造纸,山东,2016-12-09
2522,浙江众成,塑料,浙江,2016-12-09
2574,明牌珠宝,服饰,浙江,2016-12-09
2523,天桥起重,工程机械,湖南,2016-12-09
2524,光正集团,钢加工,新疆,2016-12-09
2573,清新环境,环境保护,北京,2016-12-09
2497,雅化集团,化工原料,四川,2016-12-09
2527,新时达,电器仪表,上海,2016-12-09
2496,辉丰股份,农药化肥,江苏,2016-12-09
2494,华斯股份,服饰,河北,2016-12-09
2476,宝莫股份,化工原料,山东,2016-12-09
2477,雏鹰农牧,农业综合,河南,2016-12-09
2577,雷柏科技,电脑设备,深圳,2016-12-09
2479,富春环保,火力发电,浙江,2016-12-09
2480,新筑股份,机械基件,四川,2016-12-09
2481,双塔食品,食品,山东,2016-12-09
2483,润邦股份,工程机械,江苏,2016-12-09
2484,江海股份,元器件,江苏,2016-12-09
2485,希努尔,服饰,山东,2016-12-09
2486,嘉麟杰,服饰,上海,2016-12-09
2487,大金重工,钢加工,辽宁,2016-12-09
2488,金固股份,汽车配件,浙江,2016-12-09
2489,浙江永强,家居用品,浙江,2016-12-09
2490,山东墨龙,化工机械,山东,2016-12-09
2491,通鼎互联,通信设备,江苏,2016-12-09
2575,群兴玩具,文教休闲,广东,2016-12-09
2493,荣盛石化,化纤,浙江,2016-12-09
2495,佳隆股份,食品,广东,2016-12-09
2528,英飞拓,电脑设备,深圳,2016-12-09
2529,海源机械,专用机械,福建,2016-12-09
2530,丰东股份,专用机械,江苏,2016-12-09
2552,宝鼎科技,机械基件,浙江,2016-12-09
2553,南方轴承,机械基件,江苏,2016-12-09
2554,惠博普,石油开采,北京,2016-12-09
2555,三七互娱,互联网,安徽,2016-12-09
2556,辉隆股份,其他商业,安徽,2016-12-09
2557,洽洽食品,食品,安徽,2016-12-09
2558,世纪游轮,旅游服务,重庆,2016-12-09
2559,亚威股份,机床制造,江苏,2016-12-09
2560,通达股份,电气设备,河南,2016-12-09
2561,徐家汇,百货,上海,2016-12-09
2562,兄弟科技,化工原料,浙江,2016-12-09
2563,森马服饰,服饰,浙江,2016-12-09
2564,天沃科技,化工机械,江苏,2016-12-09
2565,上海绿新,造纸,上海,2016-12-09
2566,益盛药业,中成药,吉林,2016-12-09
2567,唐人神,饲料,湖南,2016-12-09
2568,百润股份,食品,上海,2016-12-09
2551,尚荣医疗,医疗保健,深圳,2016-12-09
