code,name,ename,id,industry,id_industry,area,id_area
002067,景兴纸业,JXZY_002067,2067,造纸,23,浙江,397
002114,罗平锌电,LPXD_002114,2114,铅锌,14,云南,33
002805,丰元股份,FYGF_002805,2805,化工原料,141,山东,190
002879,长缆科技,ZLKJ_002879,2879,电气设备,154,湖南,97
000545,金浦钛业,JPTY_000545,545,化工原料,141,吉林,42
300693,盛弘股份,SHGF_300693,300693,电气设备,154,深圳,264
300424,航新科技,HXKJ_300424,300424,航空,19,广东,283
000567,海德股份,HDGF_000567,567,区域地产,71,海南,30
603233,大参林,DCL_603233,603233,医药商业,22,广东,283
002287,奇正藏药,QZZY_002287,2287,中成药,74,西藏,15
600128,弘业股份,HYGF_600128,600128,商贸代理,23,江苏,364
300511,雪榕生物,XRSW_300511,300511,种植业,14,上海,267
600877,*ST嘉陵,*STJL_600877,600877,摩托车,8,重庆,48
300583,赛托生物,STSW_300583,300583,生物制药,41,山东,190
300015,爱尔眼科,AEYK_300015,300015,医疗保健,63,湖南,97
000737,南风化工,NFHG_000737,737,日用化工,7,山西,38
002022,科华生物,KHSW_002022,2022,医疗保健,63,上海,267
002233,塔牌集团,TPJT_002233,2233,水泥,21,广东,283
600251,冠农股份,GNGF_600251,600251,农业综合,25,新疆,51
002088,鲁阳节能,LYJN_002088,2088,矿物制品,20,山东,190
300642,透景生命,TJSM_300642,300642,医疗保健,63,上海,267
002309,中利集团,ZLJT_002309,2309,电气设备,154,江苏,364
002193,如意集团,RYJT_002193,2193,纺织,47,山东,190
601028,玉龙股份,YLGF_601028,601028,钢加工,26,江苏,364
300184,力源信息,LYXX_300184,300184,元器件,149,湖北,96
600212,江泉实业,JQSY_600212,600212,综合类,31,山东,190
002653,海思科,HSK_002653,2653,化学制药,80,西藏,15
300529,健帆生物,JFSW_300529,300529,医疗保健,63,广东,283
600749,西藏旅游,XZLY_600749,600749,旅游景点,12,西藏,15
002637,赞宇科技,ZYKJ_002637,2637,日用化工,7,浙江,397
300200,高盟新材,GMXC_300200,300200,化工原料,141,北京,302
300256,星星科技,XXKJ_300256,300256,元器件,149,浙江,397
002237,恒邦股份,HBGF_002237,2237,黄金,11,山东,190
002799,环球印务,HQYW_002799,2799,广告包装,35,陕西,46
002642,荣之联,RZL_002642,2642,软件服务,157,北京,302
600078,澄星股份,CXGF_600078,600078,化工原料,141,江苏,364
002145,中核钛白,ZHTB_002145,2145,化工原料,141,甘肃,31
002028,思源电气,SYDQ_002028,2028,电气设备,154,上海,267
300619,金银河,JYH_300619,300619,专用机械,123,广东,283
000695,滨海能源,BHNY_000695,695,供气供热,23,天津,49
600740,山西焦化,SXJH_600740,600740,焦炭加工,7,山西,38
601222,林洋能源,LYNY_601222,601222,电器仪表,60,江苏,364
002205,国统股份,GTGF_002205,2205,其他建材,26,新疆,51
300530,达志科技,DZKJ_300530,300530,化工原料,141,广东,283
600236,桂冠电力,GGDL_600236,600236,水力发电,20,广西,36
601888,中国国旅,ZGGL_601888,601888,旅游服务,13,北京,302
002665,首航节能,SHJN_002665,2665,电气设备,154,北京,302
300280,南通锻压,NTDY_300280,300280,专用机械,123,江苏,364
600295,鄂尔多斯,EEDS_600295,600295,小金属,33,内蒙,25
002124,天邦股份,TBGF_002124,2124,饲料,18,浙江,397
600798,宁波海运,NBHY_600798,600798,水运,14,浙江,397
000978,桂林旅游,GLLY_000978,978,旅游景点,12,广西,36
002222,福晶科技,FJKJ_002222,2222,元器件,149,福建,129
600516,方大炭素,FDTS_600516,600516,矿物制品,20,甘肃,31
300289,利德曼,LDM_300289,300289,生物制药,41,北京,302
002008,大族激光,DZJG_002008,2008,电器仪表,60,深圳,264
603159,上海亚虹,SHYH_603159,603159,专用机械,123,上海,267
000153,丰原药业,FYYY_000153,153,化学制药,80,安徽,102
002802,洪汇新材,HHXC_002802,2802,化工原料,141,江苏,364
600538,国发股份,GFGF_600538,600538,农药化肥,47,广西,36
601899,紫金矿业,ZJKY_601899,601899,黄金,11,福建,129
000524,岭南控股,LNKG_000524,524,酒店餐饮,10,广东,283
002451,摩恩电气,MEDQ_002451,2451,电气设备,154,上海,267
002345,潮宏基,CHJ_002345,2345,服饰,55,广东,283
002380,科远股份,KYGF_002380,2380,电气设备,154,江苏,364
300226,上海钢联,SHGL_300226,300226,互联网,48,上海,267
300690,双一科技,SYKJ_300690,300690,矿物制品,20,山东,190
000058,深 赛 格,S S G_000058,58,元器件,149,深圳,264
002153,石基信息,SJXX_002153,2153,软件服务,157,北京,302
300633,开立医疗,KLYL_300633,300633,医疗保健,63,深圳,264
300681,英搏尔,YBE_300681,300681,元器件,149,广东,283
002562,兄弟科技,XDKJ_002562,2562,化工原料,141,浙江,397
300142,沃森生物,WSSW_300142,300142,生物制药,41,云南,33
002166,莱茵生物,LYSW_002166,2166,中成药,74,广西,36
000045,深纺织Ａ,SFZＡ_000045,45,纺织,47,深圳,264
002039,黔源电力,QYDL_002039,2039,水力发电,20,贵州,26
002009,天奇股份,TQGF_002009,2009,工程机械,33,江苏,364
002235,安妮股份,ANGF_002235,2235,造纸,23,福建,129
300155,安居宝,AJB_300155,300155,元器件,149,广东,283
300655,晶瑞股份,JRGF_300655,300655,化工原料,141,江苏,364
002759,天际股份,TJGF_002759,2759,家用电器,42,广东,283
000009,中国宝安,ZGBA_000009,9,综合类,31,深圳,264
002227,奥 特 迅,A T X_002227,2227,电气设备,154,深圳,264
002055,得润电子,DRDZ_002055,2055,元器件,149,深圳,264
000554,泰山石油,TSSY_000554,554,石油贸易,6,山东,190
600161,天坛生物,TTSW_600161,600161,生物制药,41,北京,302
600754,锦江股份,JJGF_600754,600754,酒店餐饮,10,上海,267
000150,宜华健康,YHJK_000150,150,医疗保健,63,广东,283
300556,丝路视觉,SLSJ_300556,300556,软件服务,157,深圳,264
300224,正海磁材,ZHCC_300224,300224,元器件,149,山东,190
600800,天津磁卡,TJCK_600800,600800,综合类,31,天津,49
603258,电魂网络,DHWL_603258,603258,互联网,48,浙江,397
600759,洲际油气,ZJYQ_600759,600759,石油开采,15,海南,30
300103,达刚路机,DGLJ_300103,300103,工程机械,33,陕西,46
300341,麦迪电气,MDDQ_300341,300341,电气设备,154,福建,129
300546,雄帝科技,XDKJ_300546,300546,元器件,149,深圳,264
300016,北陆药业,BLYY_300016,300016,中成药,74,北京,302
300294,博雅生物,BYSW_300294,300294,生物制药,41,江西,37
601001,大同煤业,DTMY_601001,601001,煤炭开采,30,山西,38
000661,长春高新,CCGX_000661,661,生物制药,41,吉林,42
002796,世嘉科技,SJKJ_002796,2796,专用机械,123,江苏,364
300423,鲁亿通,LYT_300423,300423,电气设备,154,山东,190
300426,唐德影视,TDYS_300426,300426,影视音像,40,浙江,397
300602,飞荣达,FRD_300602,300602,元器件,149,深圳,264
601012,隆基股份,LJGF_601012,601012,半导体,55,陕西,46
000040,东旭蓝天,DXLT_000040,40,全国地产,39,深圳,264
002651,利君股份,LJGF_002651,2651,专用机械,123,四川,113
600280,中央商场,ZYSC_600280,600280,百货,47,江苏,364
300339,润和软件,RHRJ_300339,300339,软件服务,157,江苏,364
600311,荣华实业,RHSY_600311,600311,黄金,11,甘肃,31
000969,安泰科技,ATKJ_000969,969,钢加工,26,北京,302
000090,天健集团,TJJT_000090,90,建筑施工,86,深圳,264
002052,同洲电子,TZDZ_002052,2052,通信设备,105,深圳,264
600619,海立股份,HLGF_600619,600619,机械基件,68,上海,267
600139,西部资源,XBZY_600139,600139,铜,14,四川,113
601111,中国国航,ZGGH_601111,601111,空运,7,北京,302
600523,贵航股份,GHGF_600523,600523,汽车配件,113,贵州,26
000620,新华联,XHL_000620,620,全国地产,39,北京,302
300106,西部牧业,XBMY_300106,300106,农业综合,25,新疆,51
002510,天汽模,TQM_002510,2510,汽车配件,113,天津,49
002521,齐峰新材,QFXC_002521,2521,造纸,23,山东,190
601126,四方股份,SFGF_601126,601126,电气设备,154,北京,302
600645,中源协和,ZYXH_600645,600645,生物制药,41,天津,49
601700,风范股份,FFGF_601700,601700,电气设备,154,江苏,364
002370,亚太药业,YTYY_002370,2370,化学制药,80,浙江,397
002238,天威视讯,TWSX_002238,2238,影视音像,40,深圳,264
601515,东风股份,DFGF_601515,601515,广告包装,35,广东,283
002519,银河电子,YHDZ_002519,2519,通信设备,105,江苏,364
002354,天神娱乐,TSYL_002354,2354,互联网,48,辽宁,73
000010,美丽生态,MLST_000010,10,建筑施工,86,深圳,264
600056,中国医药,ZGYY_600056,600056,医药商业,22,北京,302
000752,西藏发展,XZFZ_000752,752,啤酒,7,西藏,15
300558,贝达药业,BDYY_300558,300558,化学制药,80,浙江,397
002118,紫鑫药业,ZXYY_002118,2118,中成药,74,吉林,42
600691,阳煤化工,YMHG_600691,600691,农药化肥,47,山西,38
000886,海南高速,HNGS_000886,886,路桥,19,海南,30
002243,通产丽星,TCLX_002243,2243,塑料,41,深圳,264
002199,东晶电子,DJDZ_002199,2199,元器件,149,浙江,397
600184,光电股份,GDGF_600184,600184,专用机械,123,湖北,96
002240,威华股份,WHGF_002240,2240,家居用品,32,广东,283
603032,德新交运,DXJY_603032,603032,公路,9,新疆,51
600499,科达洁能,KDJN_600499,600499,专用机械,123,广东,283
600035,楚天高速,CTGS_600035,600035,路桥,19,湖北,96
603139,康惠制药,KHZY_603139,603139,中成药,74,陕西,46
300167,迪威视讯,DWSX_300167,300167,通信设备,105,深圳,264
000088,盐 田 港,Y T G_000088,88,港口,18,深圳,264
002291,星期六,XQL_002291,2291,服饰,55,广东,283
000636,风华高科,FHGK_000636,636,元器件,149,广东,283
600558,大西洋,DXY_600558,600558,钢加工,26,四川,113
600297,广汇汽车,GHQC_600297,600297,汽车服务,9,辽宁,73
603186,华正新材,HZXC_603186,603186,元器件,149,浙江,397
300519,新光药业,XGYY_300519,300519,中成药,74,浙江,397
600831,广电网络,GDWL_600831,600831,影视音像,40,陕西,46
300677,英科医疗,YKYL_300677,300677,医疗保健,63,山东,190
002140,东华科技,DHKJ_002140,2140,建筑施工,86,安徽,102
300139,晓程科技,XCKJ_300139,300139,元器件,149,北京,302
000655,金岭矿业,JLKY_000655,655,普钢,24,山东,190
600096,云天化,YTH_600096,600096,农药化肥,47,云南,33
000723,美锦能源,MJNY_000723,723,焦炭加工,7,山西,38
600448,华纺股份,HFGF_600448,600448,纺织,47,山东,190
600888,新疆众和,XJZH_600888,600888,铝,23,新疆,51
600125,铁龙物流,TLWL_600125,600125,铁路,3,辽宁,73
300604,长川科技,CCKJ_300604,300604,专用机械,123,浙江,397
002467,二六三,ELS_002467,2467,电信运营,6,北京,302
600115,东方航空,DFHK_600115,600115,空运,7,上海,267
603081,大丰实业,DFSY_603081,603081,专用机械,123,浙江,397
002482,广田集团,GTJT_002482,2482,装修装饰,27,深圳,264
002670,国盛金控,GSJK_002670,2670,证券,32,广东,283
002027,分众传媒,FZCM_002027,2027,影视音像,40,广东,283
002346,柘中股份,ZZGF_002346,2346,电气设备,154,上海,267
002692,睿康股份,RKGF_002692,2692,电气设备,154,江苏,364
600275,*ST昌鱼,*STCY_600275,600275,农业综合,25,湖北,96
002283,天润曲轴,TRQZ_002283,2283,汽车配件,113,山东,190
300171,东富龙,DFL_300171,300171,医疗保健,63,上海,267
600751,天海投资,THTZ_600751,600751,水运,14,天津,49
002536,西泵股份,XBGF_002536,2536,汽车配件,113,河南,77
600114,东睦股份,DMGF_600114,600114,机械基件,68,浙江,397
600966,博汇纸业,BHZY_600966,600966,造纸,23,山东,190
300179,四方达,SFD_300179,300179,矿物制品,20,河南,77
300287,飞利信,FLX_300287,300287,软件服务,157,北京,302
300322,硕贝德,SBD_300322,300322,通信设备,105,广东,283
000819,岳阳兴长,YYXC_000819,819,石油加工,9,湖南,97
300356,光一科技,GYKJ_300356,300356,电气设备,154,江苏,364
000915,山大华特,SDHT_000915,915,化学制药,80,山东,190
002746,仙坛股份,XTGF_002746,2746,农业综合,25,山东,190
002125,湘潭电化,XTDH_002125,2125,化工原料,141,湖南,97
300268,佳沃股份,JWGF_300268,300268,农业综合,25,湖南,97
600545,新疆城建,XJCJ_600545,600545,建筑施工,86,新疆,51
300457,赢合科技,YHKJ_300457,300457,专用机械,123,深圳,264
600265,ST景谷,STJG_600265,600265,林业,6,云南,33
300216,千山药机,QSYJ_300216,300216,医疗保健,63,湖南,97
600490,鹏欣资源,PXZY_600490,600490,铜,14,上海,267
002777,久远银海,JYYH_002777,2777,软件服务,157,四川,113
002742,三圣股份,SSGF_002742,2742,其他建材,26,重庆,48
002306,*ST云网,*STYW_002306,2306,酒店餐饮,10,北京,302
002636,金安国纪,JAGJ_002636,2636,元器件,149,上海,267
000402,金 融 街,J R J_000402,402,全国地产,39,北京,302
002788,鹭燕医药,LYYY_002788,2788,医药商业,22,福建,129
000760,斯太尔,STE_000760,760,汽车配件,113,湖北,96
600507,方大特钢,FDTG_600507,600507,特种钢,9,江西,37
300395,菲利华,FLH_300395,300395,玻璃,18,湖北,96
002320,海峡股份,HXGF_002320,2320,水运,14,海南,30
300049,福瑞股份,FRGF_300049,300049,中成药,74,内蒙,25
300147,香雪制药,XXZY_300147,300147,中成药,74,广东,283
600108,亚盛集团,YSJT_600108,600108,农业综合,25,甘肃,31
000510,金路集团,JLJT_000510,510,化工原料,141,四川,113
300244,迪安诊断,DAZD_300244,300244,医疗保健,63,浙江,397
002737,葵花药业,KHYY_002737,2737,中成药,74,黑龙江,36
002295,精艺股份,JYGF_002295,2295,铜,14,广东,283
600489,中金黄金,ZJHJ_600489,600489,黄金,11,北京,302
601882,海天精工,HTJG_601882,601882,机床制造,11,浙江,397
000960,锡业股份,XYGF_000960,960,小金属,33,云南,33
000970,中科三环,ZKSH_000970,970,元器件,149,北京,302
002026,山东威达,SDWD_002026,2026,机械基件,68,山东,190
600390,五矿资本,WKZB_600390,600390,多元金融,17,湖南,97
002585,双星新材,SXXC_002585,2585,塑料,41,江苏,364
603239,浙江仙通,ZJXT_603239,603239,汽车配件,113,浙江,397
600172,黄河旋风,HHXF_600172,600172,矿物制品,20,河南,77
300416,苏试试验,SSSY_300416,300416,电器仪表,60,江苏,364
600326,西藏天路,XCTL_600326,600326,建筑施工,86,西藏,15
000988,华工科技,HGKJ_000988,988,电器仪表,60,湖北,96
002286,保龄宝,BLB_002286,2286,食品,54,山东,190
