code,name,date,weight
600584,长电科技,2017-06-01,0.4
300113,顺网科技,2017-06-01,0.29
000049,德赛电池,2017-06-01,0.18
600325,华发股份,2017-06-01,0.3
603198,迎驾贡酒,2017-06-01,0.12
000931,中 关 村,2017-06-01,0.11
002602,世纪华通,2017-06-01,0.28
002266,浙富控股,2017-06-01,0.18
600266,北京城建,2017-06-01,0.38
002444,巨星科技,2017-06-01,0.22
600859,王府井,2017-06-01,0.13
601801,皖新传媒,2017-06-01,0.15
000926,福星股份,2017-06-01,0.19
600416,湘电股份,2017-06-01,0.19
600879,航天电子,2017-06-01,0.32
600307,酒钢宏兴,2017-06-01,0.23
000612,焦作万方,2017-06-01,0.18
002122,天马股份,2017-06-01,0.17
000066,中国长城,2017-06-01,0.43
600743,华远地产,2017-06-01,0.11
600880,博瑞传播,2017-06-01,0.13
600633,浙数文化,2017-06-01,0.26
600289,亿阳信通,2017-06-01,0.14
300115,长盈精密,2017-06-01,0.42
600587,新华医疗,2017-06-01,0.15
002223,鱼跃医疗,2017-06-01,0.31
600682,南京新百,2017-06-01,0.44
600160,巨化股份,2017-06-01,0.26
600219,南山铝业,2017-06-01,0.49
600657,信达地产,2017-06-01,0.12
600503,华丽家族,2017-06-01,0.26
600522,中天科技,2017-06-01,0.58
600270,外运发展,2017-06-01,0.17
002366,台海核电,2017-06-01,0.29
000513,丽珠集团,2017-06-01,0.24
600787,中储股份,2017-06-01,0.23
002489,浙江永强,2017-06-01,0.2
600200,江苏吴中,2017-06-01,0.17
600765,中航重机,2017-06-01,0.16
002325,洪涛股份,2017-06-01,0.14
000878,云南铜业,2017-06-01,0.26
601929,吉视传媒,2017-06-01,0.2
600575,皖江物流,2017-06-01,0.18
300136,信维通信,2017-06-01,0.66
002573,清新环境,2017-06-01,0.32
600316,洪都航空,2017-06-01,0.17
600282,南钢股份,2017-06-01,0.17
002551,尚荣医疗,2017-06-01,0.1
000667,美好置业,2017-06-01,0.23
002308,威创股份,2017-06-01,0.17
600808,马钢股份,2017-06-01,0.26
600098,广州发展,2017-06-01,0.16
000596,古井贡酒,2017-06-01,0.15
002011,盾安环境,2017-06-01,0.2
600151,航天机电,2017-06-01,0.17
300010,立思辰,2017-06-01,0.15
600300,维维股份,2017-06-01,0.16
000158,常山股份,2017-06-01,0.21
600460,士兰微,2017-06-01,0.13
002254,泰和新材,2017-06-01,0.15
600171,上海贝岭,2017-06-01,0.14
000726,鲁 泰Ａ,2017-06-01,0.15
000869,张 裕Ａ,2017-06-01,0.13
002371,北方华创,2017-06-01,0.12
600801,华新水泥,2017-06-01,0.11
000418,小天鹅Ａ,2017-06-01,0.29
000547,航天发展,2017-06-01,0.26
002396,星网锐捷,2017-06-01,0.15
000656,金科股份,2017-06-01,0.68
300257,开山股份,2017-06-01,0.17
002332,仙琚制药,2017-06-01,0.11
002431,棕榈股份,2017-06-01,0.25
600563,法拉电子,2017-06-01,0.16
000777,中核科技,2017-06-01,0.17
600500,中化国际,2017-06-01,0.26
000825,太钢不锈,2017-06-01,0.25
002342,巨力索具,2017-06-01,0.22
002073,软控股份,2017-06-01,0.14
600435,北方导航,2017-06-01,0.27
600169,太原重工,2017-06-01,0.17
002327,富安娜,2017-06-01,0.1
002681,奋达科技,2017-06-01,0.12
002635,安洁科技,2017-06-01,0.26
002273,水晶光电,2017-06-01,0.28
600277,亿利洁能,2017-06-01,0.18
600525,长园集团,2017-06-01,0.47
600809,山西汾酒,2017-06-01,0.22
000028,国药一致,2017-06-01,0.31
600022,山东钢铁,2017-06-01,0.24
600874,创业环保,2017-06-01,0.22
002244,滨江集团,2017-06-01,0.17
300055,万邦达,2017-06-01,0.3
002249,大洋电机,2017-06-01,0.06
300296,利亚德,2017-06-01,0.4
000401,冀东水泥,2017-06-01,0.3
002285,世联行,2017-06-01,0.17
002414,高德红外,2017-06-01,0.09
603019,中科曙光,2017-06-01,0.26
300134,大富科技,2017-06-01,0.25
600496,精工钢构,2017-06-01,0.16
